visit_number,patient_number,sepsis_score,group,patient_name,admission_date,discharge_date,days_of_hospitalization,discharge_status,survival_status,patient_breed,sex,weight,age,clinical_diagnosis,other_conditions,premature,gestational_age,attitude,T,P,R,CRT,blood_culture_done,blood_culture_result,blood_culture_result_desc,IgG,RBC,Hg,HCT,MCV,MCH,MCHC,RDW,nucleated_RBC,anisocytosis,echinocytes,Howell_Jolly_bodies,acanthocytes,other_morphology,poikilocytosis,schistocytes,rouleaux,Heinz_bodies,microcytes,WBC ,metamyelocytes,bands,toxicity1,neut,toxicity2,lymph,mono,eos,baso,platelets,clumps,macroplatelets,TPP,fib,RPR,glu,lactate,creatinine
64242EM,677006,14,Septic,Jeweleyes '12 Foal,2-Aug-12,3-Aug-12,1.00,EUTH,Non-Survivor,EQ-ARABIAN,F,39.6,12,,Yes,,,dull,99.5,>100,Respiratory Distress,,2,,,,9.73,11.70,34.10,35.00,12.00,34.30,16.40,,Slight,,,Few,,,,,,,9350.00,,468.00,SLIGHT TOXICITY,7200.00,,1309.00,281.00,94.00,0.00,208.00,,,4.40,300.00,0.0788,113.00,5.00,1.9
9880DL,841794,8,SNS,Peck,4-Mar-21,8-Mar-21,4.00,ALIVE,Survivor,EQ-QUARTER HORSE],M,42,48,1) Diarrhea of unknown etiology,Yes,No,350-360,BAR,100.1,72,40,2,2,,,>800,10.99,14.50,41.40,37.70,13.20,35.00,19.00,,slight,few,,,,,,,,,4460.00,,,,3400.00,,930.00,100.00,0.00,20.00,255.00,no,,4.50,300.00,0.0745,152.00,1.10,1.9
5206CP,688343,10,SNS,Shes A Lucky Wager Foal 2/17/16,17-Feb-16,19-Feb-16,2.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,58,11,1) Hypoxic Ischemic Encephalopathy 2) Pneumonia,Yes,,,BAR,101.2,88,42,2,1,2,No Growth,>800,8.18,11.30,31.40,38.40,13.80,36.00,19.10,,Slight,,Rare,,,,,,,,4460.00,,134.00,Slight,3613.00,,669.00,45.00,,,144.00,,,5.20,200.00,0.1326,113.00,5.10,2
3744CM,686132,17,Septic,Hilda's '15 Foal (Zed),9-Jun-15,23-Jun-15,14.00,ALIVE,Survivor,EQ-FRIESIAN,M,50,60,1) Sepsis - resolving 2) Aspiration pneumonia - improving 3) Pharyngeal paresis 4) Urachitis - umbilical resection,No,No,326,Obtunded,100,132,28,1,1,1,GRAM (-) RODS CULTURE: HEMOLYTIC E. COLI BY MALDI TOF,>800,9.44,15.00,39.10,41.40,15.90,38.40,18.40,,Slight,Moderate,,,,,,,,,14370.00,,5604.00,MODERATE TOXIC,5604.00,MODERATE TOXIC,1006.00,2156.00,0.00,0.00,156.00,,,6.60,400.00,0.1179,333.00,7.50,2
71463FS,698280,5,SNS,Miss Starlano 19 Filly,14-Feb-19,14-Feb-19,0.00,ALIVE,Survivor,EQ-AZTECA,F,,10,1) Failure of Passive Transfer,,,,QAR,101.1,96,54,2,2,,,<400,9.52,13.10,39.10,41.10,13.80,33.50,18.20,,Slight,Few,,,,,,,,,8090.00,,,,6448.00,,1561.00,65.00,8.00,8.00,251.00,,,4.90,200.00,0.0725,,,2
67862EM,681158,0,Healthy,Playboys Writin Chex,25-Jan-14,25-Jan-14,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,11,1) Healthy foal 2) Mild fetlock contracture (PL>TL),No,No,,BAR,101.4,104,76,2,2,,,>800,10.04,13.70,40.80,40.60,13.60,33.60,17.50,,Slight,Moderate,,,,,,,,,9730.00,,,,7687.00,,1712.00,282.00,19.00,29.00,248.00,,,6.10,200.00,0.0706,122.00,,2
71069EM,685535,2,Healthy,Chow Mein (Foal 2015),29-Mar-15,18-Apr-15,20.00,ALIVE,Survivor,EQ-AMERICAN MINIATURE,F,54,15.5,1) Foal born in hospital,No,,,BAR,100.5,120,60,1,2,,,>800,8.36,13.90,35.90,42.90,16.60,38.70,18.70,,Slight,,,,,,,,,,5040.00,,,,3095.00,,1855.00,71.00,10.00,5.00,291.00,,,6.30,200.00,0.0643,177.00,,2
8285CD,680305,8,SNS,Prince,5-Jul-13,13-Jul-13,8.00,ALIVE,Survivor,EQ-WARMBLOOD,M,70,48,1) 1. Contracted tendons 2) 2. Entropion 3) 3. Failure of passive transfer 4) 4. Acute renal failure,No,,,Obtunded,99.5,136,42,~2,2,,,400,13.10,18.10,52.30,39.90,13.80,34.60,17.30,,Slight,,,,,,,,,,13850.00,,,,11883.00,,1565.00,332.00,14.00,55.00,291.00,,,6.00,400.00,0.0595,200.00,3.00,2
5512DH,838755,7,SNS,Maybelle Colt,25-Jan-20,1-Feb-20,7.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,45.2,39,1) Congenital bladder malformation - surgically corrected 2) Body wall hernia - surgically corrected 3) Neonatal encephalopathy - resolved,No,,,Recumbent,97.4,100,60,1,2,,,>800,7.95,11.20,32.20,40.50,14.10,34.80,19.20,,Slight,,,,,,,,,,4230.00,,,,3198.00,,981.00,30.00,13.00,13.00,169.00,No,,4.50,400.00,0.1136,97.00,5.50,2.1
54956FS,680255,14,Septic,Texana 13 Colt,6-Aug-13,6-Aug-13,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,8,1) Suspect aspiration pneumonia,,,,QAR,100.9,72,25,<2,2,,,400-800,9.04,12.80,36.70,40.60,14.20,34.90,17.40,,Slight,,,,,,,,,,3350.00,,871.00,"SLIGHT TOXIC, FEW MODERATE",1675.00,SLIGHT TOXIC,737.00,67.00,0.00,0.00,165.00,,,4.40,300.00,0.1055,90.00,,2.1
50873FS,674713,0,Healthy,Zips Ina Big League (7764c),12-Mar-12,12-Mar-12,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,24,1) Moderate right forelimb tendon contraction,,,,BAR,101.2,100,42,~1,2,,,,10.18,14.60,41.20,40.50,14.30,35.40,17.70,,Slight,,,,,,,,,,8300.00,,,,6399.00,,1461.00,415.00,8.00,8.00,252.00,,,5.00,200.00,0.0702,106.00,,2.1
65845FS,691597,1,Healthy,Sailing Badger 17 Colt,4-May-17,4-May-17,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,24,1) Healthy foal,,,,BAR,100.2,72,50,1,2,,,>800,8.99,12.80,37.80,42.00,14.20,33.90,18.00,,slight,,,,,,,,,,9220.00,,,,8169.00,,996.00,28.00,0.00,18.00,258.00,,,6.00,200.00,0.0698,140.00,,2.1
53612FS,677953,2,Healthy,Radabelle 13 Colt (25640),24-Feb-13,24-Feb-13,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,9,,No,No,349,BAR,101.1,100,30,1.5s,2,,,>800,10.95,15.20,42.20,38.50,13.90,36.00,17.90,,Slight,,,Few,,,,,,,3750.00,,,,2850.00,,833.00,41.00,19.00,8.00,300.00,,,5.80,200.00,0.0597,152.00,,2.1
7554DH,838883,2,SNS,One Son Of A Gun's Foal Born 2/9/2020,9-Feb-20,12-Feb-20,3.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,61.4,8,"1) Neonatal Encephalopathy 2) Seizure Activity (prior to presentation) - Suspect secondary to neonatal encephalopathy 3) Mild fetlock laxity of the thoracic limbs 4) Right hock valgus, right fetlock contracture",,,,QAR to excitatory,99.4,84,32,2,2,,,>800,9.50,13.20,38.70,40.70,13.90,34.10,18.90,,Slight,Rare,,,,,,,,,10250.00,,,,9071.00,,1097.00,41.00,21.00,10.00,108.00,No,,5.40,300.00,0.1750,77.00,2.20,2.2
6604CV,693052,22,Septic,Fancy 2 Colt 2017,25-Jun-17,26-Jun-17,1.00,EUTH,Non-Survivor,EQ-ARABIAN,M,45.4,28,"1) Sepsis, failure of passive transfer, Hypoxic ischemic encephalopathy",No,No,320,"QAR, responsive to stimuli but uncoordinated movements/thrashing. Unable to stand even with assistance",100.7,104,32,3,1,2,no growth,761,8.60,12.60,35.40,41.20,14.70,35.60,20.90,,moderate,,,,,,,,,,1350.00,,311.00,moderate toxicity,311.00,"slight toxicity, few moderate",675.00,54.00,0.00,0.00,147.00,no,,6.50,400.00,0.1422,54.00,8.70,2.2
53565FS,679261,0,Healthy,Lightnin Juice 13 Filly (4795e)(Sailors Little Lena),15-Feb-13,15-Feb-13,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,7,1) Healthy foal exam.,No,,,BARH,99.6,120,40,2,2,,,>800,9.43,12.90,34.50,36.60,13.70,37.40,18.20,,Slight,,,,,,,,,,8840.00,,,,7364.00,,1335.00,115.00,9.00,18.00,153.00,,,5.50,300.00,0.1190,90.00,,2.2
9924DA,696611,21,Septic,Huftec's Filly,30-Aug-18,9-Sep-18,10.00,EUTH,Non-Survivor,EQ-ANDALUSIAN,F,35,12,"1) Premature 2) Failure of passive transfer 3) Hypoxic ischemic encephalopathy 4) Incomplete ossification (tarsi>carpi) 5) Nutritional myodegeneration (suspect) 6) Septicemia 7) Systemic inflammatory response syndrome 8) Aspiration pneumonia 9) Cortical deafness 10) Rib fracture (left, 9th) 11) Corneal ulcer, OS",,Yes,310,Recumbent,100,130,30,3,1,1,Leclercia adecarboxylata,<400,9.54,14.20,42.10,44.10,14.90,33.70,17.40,,Slight,Many,,,,,,,,,4426.00,,1859.00,,1461.00,,885.00,221.00,0.00,0.00,242.00,,,10.90,300.00,0.0719,108.00,11.70,2.2
74627EM,690637,6,SNS,Fobke's Filly 2016,2-Aug-16,27-Aug-16,25.00,ALIVE,Survivor,EQ-FRIESIAN,F,36,2,1) Premature 2) Failure of ossification,No,No,321,,100.8,100,24,1,1,2,No Growth,,10.79,16.40,49.60,46.00,15.20,33.10,18.60,,Slight,Few,Rare,,,,,,,,13200.00,,396.00,,10824.00,,1320.00,660.00,,,262.00,,,4.60,100.00,0.0710,109.00,3.00,2.2
73945EM,689125,4,SNS,Melaina Foal,3-May-16,9-May-16,6.00,ALIVE,Survivor,EQ-FRIESIAN,M,49,,1) Born in hospital. 2) Partial failure of passive transfer.,,No,329,BAR,102.5,100,60,1,2,,,400-800,9.32,13.90,42.50,45.60,14.90,32.70,18.10,,Slight,,Rare,,,,,,,,4180.00,,,,2796.00,,1350.00,17.00,13.00,4.00,278.00,,,4.10,200.00,0.0651,78.00,2.30,2.2
2415DI,838295,20,Septic,Kitty Up Starlight's Foal 2020,16-Mar-20,17-Mar-20,1.00,EUTH,Non-Survivor,EQ-QUARTER HORSE],M,,11,1) Red bag delivery March 16 2) Premature,Yes,No,336,Recumbent,97.3,140,56,3,2,,,<400,5.98,9.00,26.30,44.00,15.10,34.20,18.50,,Slight,Moderate,Rare,,,,Rare,,,,2530.00,,,,1397.00,,1093.00,23.00,15.00,3.00,155.00,No,,4.70,100.00,0.1194,101.00,18.00,2.3
5591CC,678461,6,SNS,Cassie (2013),25-Mar-13,10-Apr-13,16.00,ALIVE,Survivor,EQ-ARABIAN,F,30,18.5,1) Systemically healthy companion to mare,Yes,No,330,BAR,100.1,124,24,<2,2,,,>800,8.16,10.70,29.70,36.40,13.10,36.00,17.70,,Slight,,,,,,,,,,12380.00,,,,10573.00,,1622.00,149.00,25.00,12.00,235.00,,,5.30,200.00,0.0753,194.00,4.00,2.3
53429FS,678916,4,SNS,Custom Starlight 13 Filly (2082f),31-Jan-13,31-Jan-13,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,12,1) FPT.,No,,,BAR,100.4,88,40,<2,2,,,<400,11.27,14.80,40.60,36.00,13.10,36.50,17.80,,Slight,,,,,,,,,,11340.00,,,,8913.00,,2155.00,227.00,23.00,23.00,323.00,,,4.60,300.00,0.0551,124.00,,2.3
1910CM,687072,20,Septic,Foal Of Flamanca,26-May-15,20-Jun-15,25.00,ALIVE,Survivor,EQ-FRIESIAN,F,23.2,34.5,1) Severe sepsis 2) Intrauterine growth retardation (suspect placentitis) 3) Failure of passive transfer (resolved 5/27/15 IgG SNAP >800 at 1530) 4) Incomplete ossification of cuboidal and tarsal bones. 5) Pneumonia,No,No,335,Obtunded ,98.4,120,60,2,1,2,NO GROWTH,400-800,10.76,15.30,41.80,38.80,14.20,36.60,19.60,,Slight,,,,,,,,,,1100.00,,68.00,MODERATE TOXICITY,1036.00,SLIGHT TOXICITY,812.00,84.00,,,89.00,,,7.10,400.00,0.2202,30.00,8.50,2.4
68526FS,695482,1,SNS,Poah '18,21-Mar-18,21-Mar-18,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,6,"1) Mild azotemia, suspect mild placental insufficiency. 2) Mildly decreased suckle.",No,,,BAR,100.4,94,32,2,2,,,>800,10.15,14.30,44.30,43.60,14.10,32.30,18.10,,Slight,Few,,,,,,,,,11270.00,,,,9951.00,,1262.00,34.00,11.00,11.00,203.00,,,5.00,200.00,0.0892,124.00,,2.4
78991EM,695537,0,Healthy,Sylvie Filly 2018,6-Apr-18,9-Apr-18,3.00,ALIVE,Survivor,EQ-OLDENBURG,F,,12,"1) Mild flexor laxity in all four distal limbs, improving. 2) Healthy filly with IgG >800 mg/dl.",No,No,353,BAR,100.4,112,52,2,2,,,>800,10.70,13.70,40.40,37.80,12.80,33.90,18.30,,Slight,Many,,,,,,,,,9980.00,,,,7954.00,,1926.00,80.00,0.00,20.00,220.00,,,5.30,200.00,0.0832,,,2.4
53780FS,679111,3,Healthy,A Glowing Leaguer 13 Colt (D4773),17-Mar-13,17-Mar-13,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,15,1) Foal Wellness Exam,No,No,,BAR,101.2,132,40,1,2,,,400-800,11.83,16.50,46.10,39.00,13.90,35.80,18.10,,Slight,,,,,,,,,,11550.00,,,,9228.00,,1894.00,370.00,12.00,58.00,223.00,,,5.80,300.00,0.0812,149.00,,2.4
69140EM,683347,5,SNS,Bennett,17-Jul-14,1-Aug-14,15.00,ALIVE,Survivor,EQ-WELSH PONY,M,19.7,11,"1) Born in hospital. 2) Meconium impaction. 3) Enterocolitis, suspect C. perfringens. 4) Right umbilical arteritis and urachitis. 5) Distal limb laxity (pelvic limbs > thoracic) 6) Aspiration pneumonia. 7) Patent urachus.",Yes,No,367,BAR,101.1,132,44,<1,2,,,>800,7.23,9.40,27.10,37.50,13.00,34.70,18.20,,Slight,Many,,,,,,,,,8180.00,,,,6528.00,,1333.00,278.00,25.00,16.00,259.00,,,4.70,200.00,0.0703,234.00,5.90,2.4
1200CC,679051,4,SNS,Filly Of Jane 2013,13-Feb-13,17-Feb-13,4.00,ALIVE,Survivor,EQ-AMERICAN PAINT HORSE,F,53,14,1) RF: SDFT and DDFT Contracture with Carpal Valgus 2) LF: SDFT Contracture 3) RH: Tarsal Valgus with Laxity 4) LH: Tarsal Varus with Laxity,,No,328,BAR,99.3,92,24,<2,2,,,>800,11.41,16.30,44.70,39.20,14.30,36.50,18.60,,Slight,,,,,,,,,,13370.00,,,,11806.00,,1431.00,107.00,13.00,13.00,295.00,,,6.10,100.00,0.0631,96.00,3.80,2.4
74484EM,689183,7,SNS,Hedera Filly 2016,12-Jul-16,13-Aug-16,32.00,ALIVE,Survivor,EQ-ANDALUSIAN,F,54,9,"1) Dystocia with C-section (7/12/16) 2) Patent urachus- resolved 3) Omphalitis, omphaloarteritis-resolving 4) Influenza (H3N8) positive 8/7/16- negative 8/11/16 and 8/12/16",Yes,,,BAR,100.1,120,60,1,2,,,,8.17,12.20,36.30,44.40,14.90,33.60,18.00,,Slight,,,,,,,,,,7970.00,,,,6352.00,Rare Slight,1451.00,151.00,16.00,8.00,163.00,,,6.10,100.00,0.1104,36.00,2.10,2.5
70951EM,684236,6,SNS,Duke (Red's Colt),15-Mar-15,15-Mar-15,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,50,36,"1) Mild acute systemic inflammation, open etiology. 2) Persistent tachypnea. 3) Historic dystocia.",,,,,100.4,116,100,1,2,,,>800,9.08,12.30,32.00,35.20,13.50,38.40,19.60,,Slight,,,,,,,,,,6820.00,,,,5183.00,,1466.00,130.00,7.00,27.00,227.00,,,6.80,400.00,0.0863,177.00,,2.5
71696EM,686203,3,SNS,Karina's '15 Colt,13-Jun-15,14-Jun-15,1.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,56.4,24,1) Dehydrated 2) Mild neonatal maladjustment syndrome,,No,330,BAR,100.3,96,60,<2,2,,,>800,9.24,13.70,35.00,37.90,14.80,39.10,18.60,,Slight,,,,,,,,,,7030.00,,,,5364.00,,1490.00,134.00,21.00,14.00,235.00,,,6.20,200.00,0.0791,115.00,3.00,2.5
53365FS,677951,4,SNS,My Graceful Asset 13 Filly (A5651),24-Jan-13,24-Jan-13,0.00,ALIVE,Survivor,EQ-QUARTER HORSE],F,,15,1) neonatal examination,No,,,BAR,100.1,84,28,1-2s,2,,,400,8.52,11.90,32.80,38.50,14.00,36.30,18.50,,Slight,Few,,,,,,,,,10740.00,,,,8474.00,,2073.00,193.00,0.00,11.00,236.00,,,4.10,100.00,0.0784,115.00,,2.5
68896EM,682991,1,Healthy,Georgina 14 Filly,23-Jun-14,25-Jun-14,2.00,ALIVE,Survivor,EQ-WESTPHALIAN,F,57,8.5,1) Systemically healthy,No,No,343,BAR,100.1,88,~60,<2,2,,,>800,12.02,15.70,47.40,39.40,13.10,33.10,18.00,,Slight,,,,,,,,,,7680.00,,,,6213.00,,1367.00,69.00,23.00,8.00,234.00,,,5.00,400.00,0.0769,129.00,2.20,2.5
53394FS,678910,3,Healthy,Look Whos Pinen 13 Colt (40e6a),28-Jan-13,28-Jan-13,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,11,1) Neonatal Exam,No,,,BAR,100,84,24,<2,2,,,400-800,10.46,13.80,38.30,36.60,13.20,36.00,18.50,,Slight,,,,,,,,,,11120.00,,,,9374.00,,1423.00,278.00,11.00,22.00,276.00,,,4.90,100.00,0.0670,154.00,,2.5
79547EM,696435,7,SNS,Ria's 2018 Filly,29-May-18,5-Jun-18,7.00,ALIVE,Survivor,EQ-QUARTER HORSE],F,31,15,1) Meconium impaction 2) Maladjustment sydnrome with abnormal nursing (tongue hanging out and aerophagia during nursing),,,,BAR,100.3,130,24,2,2,,,400-800,6.97,8.80,26.80,38.50,12.60,32.80,19.30,,Slight,,Rare,,,,,,,,9810.00,,196.00,,8437.00,,981.00,196.00,0.00,0.00,310.00,,,5.00,300.00,0.0623,118.00,6.00,2.5
1684CQ,688727,16,Septic,Kendra Rae 16 Colt,6-Apr-16,9-Apr-16,3.00,EUTH,Non-Survivor,EQ-THOROUGHBRED,M,49.6,6,1) Sepsis. 2) Fractured ribs. 3) Patent urachus. 4) Enteritis.,,Yes,310,Obtunded,92,80,12,2,2,,,400-800,8.62,12.20,35.90,41.60,14.20,34.00,18.40,,Slight,,,,,,,,,,1300.00,,195.00,Slight,767.00,,273.00,65.00,,,67.00,,,6.30,400.00,0.2746,91.00,5.60,2.6
76096EM,692943,3,SNS,Sunny (Kanni 17 Foal),2-Apr-17,4-Apr-17,2.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,1,1) Mild pneumonia,No,No,342,BAR,99.8,80,40,1,2,,,>800,12.07,14.90,47.00,38.90,12.30,31.70,20.00,,slight ,moderate,,,,,,,,,5320.00,,,,3330.00,,1915.00,69.00,5.00,5.00,182.00,no,,6.10,500.00,0.1099,137.00,,2.6
71272EM,685036,2,SNS,Eliza's 2015 Foal,22-Apr-15,26-Apr-15,4.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,,0,1) Newborn foal - possible sepsis based on bloodwork,No,,,BAR,100.2,100,28,1-2s,2,,,>800,9.92,13.90,36.60,36.90,14.00,38.00,19.40,,Slight,,,,,,,,,,6539.00,,196.00,SLIGHT TOXIC,5289.00,,784.00,261.00,0.00,0.00,226.00,,,4.90,300.00,0.0858,119.00,,2.7
56709FS,682181,2,SNS,Badgley Mischka,27-Mar-14,27-Mar-14,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,17,1) 17 hour old foal 2) IgG adequate but not optimal (400-800mg/dl range) 3) Mildly elevated creatinine,No,,,BARH,99.8,108,32,<2,2,,,400-800,10.60,14.20,41.10,38.80,13.40,34.50,17.90,,Slight,Moderate,,,,,,,,,6810.00,,,,5046.00,,1614.00,116.00,34.00,7.00,217.00,,,4.90,100.00,0.0825,160.00,,2.7
1901CZ,695805,4,SNS,Princess Colt 2018 (Rocky),10-Apr-18,12-Apr-18,2.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,27.6,17,"1) Mild meconium impaction, resolved. 2) Dysmaturity- grade 3 incomplete ossification, fetlock laxity x4, domed forehead.",Yes,No,370,BAR,100.3,120,44,1,2,,,>800,8.89,12.10,36.30,40.80,13.60,33.30,17.60,,Slight,Many,,,,,,,,,6510.00,,,,5221.00,,1211.00,33.00,7.00,33.00,219.00,,,3.80,200.00,0.0804,115.00,2.10,2.7
7841DI,839429,4,SNS,Illusion,7-Jun-20,12-Jun-20,5.00,ALIVE,Survivor,EQ-AMERICAN MINIATURE,M,8.6,0,"1) HIE, resolved 2) Aspiration pneumonia secondary to tracheal intubation with colostrum, responding to therapy",No,,,bar,99.7,120,40,3,2,,,>800,8.88,11.70,36.10,40.70,13.20,32.40,17.90,,Marked,,,,Rare ovalocyte,Moderate,Moderate,,,,4830.00,,48.00,,3043.00,,1546.00,193.00,0.00,0.00,233.00,No,,3.60,100.00,0.0768,96.00,5.10,2.7
76396EM,691729,6,SNS,Milagro,15-May-17,18-May-17,3.00,ALIVE,Survivor,EQ-MIX/THOROUGHBRED/QUARTER HORSE,F,59.4,24,1) Mild sepsis 2) Orphan foal,,No,349,BAR,100,94,60,,2,,,>800,11.21,16.50,48.80,43.50,14.70,33.80,17.20,,Slight,Few,,,,,,,,,11570.00,,,,10540.00,,717.00,266.00,23.00,12.00,236.00,,,5.30,300.00,0.0729,62.00,6.20,2.7
5559DD,699914,11,Septic,Cinderada Cat (4056a) 19 Foal,24-Mar-19,28-Mar-19,4.00,ALIVE,Survivor,EQ-QUARTER HORSE],M,45,8,1) Neonatal Hypoxic Ischemic Encephalopathy 2) Contracted Tendons x 4,No,,,QAR,97.4,130,40,3,1,1,Non-Enterobac,>800,9.42,13.50,40.00,42.50,14.30,33.80,18.20,,Slight,Many,Rare,Rare,,,,,,,1850.00,,74.00,,907.00,,870.00,0.00,0.00,0.00,144.00,,,5.70,200.00,0.1264,161.00,4.40,2.8
2074DE,699961,12,Septic,Bodie,9-May-19,16-May-19,7.00,ALIVE,Survivor,EQ-AMERICAN PAINT HORSE,M,41.6,11,"1) Neutropenia, suspect sepsis (resolved).",Yes,No,370,BAR,100.3,128,44,2,1,2,No Growth,800,9.12,12.20,36.00,39.50,13.40,33.90,18.10,,Slight,Moderate,Rare,,,,,,,,2320.00,,209.00,,1276.00,,673.00,162.00,0.00,0.00,164.00,,,4.70,200.00,0.1104,165.00,3.00,2.8
75019FS,838437,0,Healthy,Isabella Gangster 2020 Filly,17-Apr-20,17-Apr-20,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,24,1) Healthy Neonate 2) Bilateral Carpal Contracture - Improving,No,,,BAR,101.3,96,36,2,2,,,>800,11.36,15.00,44.30,39.00,13.20,33.90,18.60,,Slight,,,,,,,,,,8210.00,,,,6584.00,,1461.00,131.00,8.00,33.00,192.00,No,,5.50,100.00,0.0969,,,2.8
76039EM,692921,5,SNS,Sarah's Hart Foal,27-Mar-17,27-Mar-17,0.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,51,1,1) Dystocia foal,Yes,,,BAR,99.4,100,40,1,2,,,>800,8.36,12.10,35.00,41.90,14.50,34.60,18.10,,Slight,,Rare,,,,,,,,6030.00,,,,5126.00,,543.00,362.00,0.00,0.00,221.00,,,5.00,400.00,0.0819,89.00,4.60,2.8
229CQ,688600,6,SNS,Senor's Promise Foal,28-Mar-16,29-Mar-16,1.00,ALIVE,Survivor,EQ-EQY,M,42.8,7,1) Presumptive HIE 2) Presumptive Sepsis 3) Failure of Passive Transfer,No,No,328,QAR,100.6,108,28,1,1,2,No Growth,>800,12.41,16.20,48.90,39.40,13.10,33.10,18.50,,Slight,,,,,,,,,,13200.00,,,,11906.00,,1082.00,172.00,26.00,26.00,243.00,,,5.90,200.00,0.0761,124.00,4.60,2.8
8435DD,698948,6,SNS,Filly 2019,15-Apr-19,18-Apr-19,3.00,ALIVE,Survivor,EQ-QUARTER HORSE],F,59,11,1) Orphan Filly,,,,BAR,99.4,80,36,2,2,,,400,12.00,15.60,46.90,39.10,13.00,33.30,19.00,,Slight,Moderate,Rare,,,,,,,,10120.00,,,,84000.00,,1113.00,607.00,0.00,0.00,250.00,,,4.30,300.00,0.0760,107.00,3.60,2.8
56429FS,681310,1,Healthy,Isabella Gangster 14 Filly (F6f4f),13-Feb-14,13-Feb-14,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,14,1) Neonatal Wellness Exam,No,No,343,BAR,100.7,48,24,1-2s,2,,,>800,11.31,15.40,46.70,41.30,13.60,33.00,17.30,,Slight,,Rare,,,,,,,,8330.00,,,,6656.00,,1524.00,133.00,8.00,17.00,237.00,,,7.10,100.00,0.0730,182.00,,2.8
73646EM,688691,1,Healthy,Joeandbetty'Sbaby '16 Filly,21-Mar-16,25-Mar-16,4.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,44,8,Born In Hospital,No,No,347,BAR,100.1,100,36,1,2,,,>800,9.75,14.50,42.50,43.60,14.90,34.10,18.30,,Slight,Few,,,,,,,,,10640.00,,,,9416.00,,1149.00,53.00,21.00,11.00,175.00,,,5.20,200.00,0.1046,125.00,1.50,2.9
3573CZ,694754,13,Septic,Salty Fries Colt 2018,23-Apr-18,30-Apr-18,7.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,52.5,24,"1) Clostridial enteritis. 2) Sepsis secondary to 1. 3) Patent urachus, sloughed umbilical stump. 4) Acute kidney injury.",No,,,Dull,100.8,140,80,3,1,2,No Growth,>800,8.17,11.00,33.70,41.20,13.50,32.60,19.10,,Slight,Moderate,Rare,,,,,,,,1110.00,,211.00,,200.00,,622.00,78.00,0.00,0.00,203.00,,,5.70,200.00,0.0941,88.00,17.00,2.9
65818EM,679120,6,SNS,Smokin Cd,16-Mar-13,17-Mar-13,1.00,DIED,Non-Survivor,EQ-QUARTER HORSE,F,37.8,7.5,1) Nutritional myodegeneration: Selenium deficiency; Severe rhabdomyolysis with cardiomyopathy.,,,,BAR,99.8,80,60,~2,2,,,>800,11.99,16.60,45.90,38.30,13.80,36.20,17.90,,Slight,,,,,,,,,,8900.00,,365.00,SLIGHT TOXIC ,6942.00,FEW SLIGHT TOXIC,1157.00,445.00,0.00,0.00,208.00,,,5.10,200.00,0.0861,73.00,,2.9
77405FS,841765,0,Healthy,Coco's A Fancy Chip 21,3-Mar-21,3-Mar-21,0.00,ALIVE,Survivor,EQ-QUARTER HORSE],M,,4,1) Newborn foal exam,No,,,BAR,100.2,104,40,2,2,,,1350,8.65,13.40,39.00,45.10,15.50,34.40,18.00,,slight,moderate,,,,,,,,,9370.00,,,,7260.00,,1860.00,210.00,10.00,20.00,267.00,no,,4.70,300.00,0.0674,,,2.9
3326DI,838341,5,SNS,Lilly Smart Foal 2020,6-Apr-20,9-Apr-20,3.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,52,6,1) Mild bronchopneumonia,No,,,BAR,98.8,116,32,2,2,,,>800,9.46,13.80,40.70,43.00,14.60,33.90,18.80,,Slight,,Rare,,,,,Moderate,,,1270.00,,,,845.00,,398.00,9.00,10.00,9.00,137.00,No,,4.50,200.00,0.1372,108.00,,3
